# host=127.0.0.1
# port=8080
# clients=100
# requestsPerClient=20
# warmupDiscarded=20
# elapsedSec=11.189765
# throughput=178.734763
# p50Ms=558
# p95Ms=575
timestamp_ms,client_id,req_index,global_req_no,latency_ms,ok
1771319124365,78,0,79,30,false
1771319124365,92,0,93,30,false
1771319124365,33,0,36,32,false
1771319124365,93,0,94,30,false
1771319124365,53,0,54,32,false
1771319124365,14,0,15,33,false
1771319124365,12,0,8,33,false
1771319124365,98,0,99,29,false
1771319124365,99,0,100,29,false
1771319124365,85,0,86,30,false
1771319124365,19,0,20,33,false
1771319124365,67,0,68,31,false
1771319124460,59,0,60,127,true
1771319124460,34,0,35,128,true
1771319124460,16,0,17,128,true
1771319124460,36,0,37,128,true
1771319124460,25,0,27,128,true
1771319124460,29,0,30,128,true
1771319124461,72,0,72,126,true
1771319124461,70,0,74,127,true
1771319124461,55,0,56,128,true
1771319124461,35,0,34,129,true
1771319124461,54,0,55,129,true
1771319124463,5,0,7,131,true
1771319124463,73,0,73,129,true
1771319124463,74,0,75,129,true
1771319124463,57,0,58,130,true
1771319124463,75,0,76,129,true
1771319124463,56,0,57,131,true
1771319124463,71,0,71,130,true
1771319124463,17,0,18,132,true
1771319124465,18,0,11,134,true
1771319124593,22,0,23,260,true
1771319124595,77,0,78,260,true
1771319124598,24,0,25,265,true
1771319124601,89,0,90,265,true
1771319124601,32,0,33,268,true
1771319124602,69,0,70,267,true
1771319124602,10,0,19,269,true
1771319124603,90,0,91,267,true
1771319124603,76,0,77,268,true
1771319124604,58,0,59,270,true
1771319124605,51,0,52,272,true
1771319124611,66,0,67,277,true
1771319124612,8,0,13,280,true
1771319124612,60,0,61,285,true
1771319124612,2,0,3,286,true
1771319124612,43,0,44,286,true
1771319124612,31,0,32,287,true
1771319124612,61,0,62,286,true
1771319124612,49,0,50,287,true
1771319124612,40,0,41,288,true
1771319124708,46,0,47,375,true
1771319124708,3,0,1,376,true
1771319124724,21,0,22,391,true
1771319124724,15,0,16,392,true
1771319124724,37,0,38,391,true
1771319124724,23,0,14,392,true
1771319124724,0,0,5,392,true
1771319124724,68,0,69,390,true
1771319124724,50,0,51,392,true
1771319124725,48,0,49,392,true
1771319124725,4,0,2,393,true
1771319124726,39,0,40,393,true
1771319124726,13,0,24,393,true
1771319124726,62,0,63,392,true
1771319124726,65,0,66,392,true
1771319124726,26,0,26,394,true
1771319124744,44,0,45,411,true
1771319124744,7,0,12,412,true
1771319124744,79,0,80,410,true
1771319124744,9,0,10,412,true
1771319124822,11,0,6,490,true
1771319124822,63,0,64,488,true
1771319124838,30,0,31,505,true
1771319124838,1,0,4,506,true
1771319124838,88,0,89,503,true
1771319124838,41,0,42,505,true
1771319124838,52,0,53,505,true
1771319124838,95,0,96,503,true
1771319124839,38,0,39,505,true
1771319124839,80,0,81,504,true
1771319124839,47,0,48,506,true
1771319124839,87,0,88,503,true
1771319124841,20,0,21,508,true
1771319124841,86,0,87,506,true
1771319124842,6,0,9,509,true
1771319124858,45,0,46,525,true
1771319124858,96,0,97,523,true
1771319124858,64,0,65,524,true
1771319124858,91,0,92,523,true
1771319124858,94,0,95,523,true
1771319124926,97,0,98,591,true
1771319124928,83,0,84,593,true
